"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Caddy 1.6(Kombi)","05-1999","Occasion","blau","159'000 km","Handschaltung","Vorderradantrieb","Benzin",3,5,"schwarz",1596,4,75,NA,NA,NA,NA,FALSE,"0 Monate","CHF 4'950.- "
"VW Caddy 1.6(Kombi)","06-1996","Occasion","weiss","120'000 km","Handschaltung","Vorderradantrieb","Benzin",3,5,NA,1596,4,75,NA,NA,NA,NA,TRUE,"0 Monate","CHF 3'600.- "
"VW Caddy 1.6 GTI .) (Kombi)","05-1998","Occasion","gruen","105'000 km","Handschaltung","Vorderradantrieb","Benzin",3,5,NA,1600,4,75,NA,NA,NA,NA,TRUE,"0 Monate","CHF 6'666.- "
"VW Caddy 1.6TDI Blue M Trend(Kombi)","05-2011","Vorfuehrwagen","schwarz","500 km","Handschaltung","Vorderradantrieb","Diesel",5,7,"anthrazit",1598,4,102,"1650 kg","5.1 l/100km","134 g/km",NA,TRUE,"24 Monate","CHF 29'900.- "
"VW Caddy 1.6TDI Blue M Trend(Kombi)","03-2011","Occasion","silber","6'200 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"schwarz",1598,4,102,"1650 kg","5.1 l/100km","134 g/km",NA,FALSE,"12 Monate","CHF 27'900.- "
"VW Caddy 1.6TDI CR(Kombi)","02-2011","Vorfuehrwagen","bordeaux","4'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1598,4,102,"1615 kg","5.7 l/100km","149 g/km",NA,FALSE,"24 Monate","CHF 29'900.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","17'155 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,NA,1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 27'500.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","29'600 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 24'850.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","22'027 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,NA,1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 26'900.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","23'500 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 26'890.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","09-2010","Occasion","grau","6'350 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 24'860.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","06-2011","Occasion","silber","6'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"0 Monate","CHF 27'500.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","02-2011","Occasion","schwarz","22'400 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"12 Monate","CHF 26'900.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","9'000 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,"anthrazit",1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"0 Monate","CHF 26'800.- "
"VW Caddy 1.6TDI CR Trendline(Kombi)","12-2010","Occasion","schwarz","22'200 km","Handschaltung","Vorderradantrieb","Diesel",5,NA,NA,1598,4,102,"1650 kg","5.7 l/100km","149 g/km",NA,FALSE,"0 Monate","CHF 27'500.- "
"VW Caddy 1.9 SDI(Kombi)","04-2003","Occasion","weiss","102'000 km","Handschaltung","Vorderradantrieb","Diesel",3,5,"grau",1896,4,64,"1225 kg","5.9 l/100km","159 g/km","B",TRUE,"0 Monate","CHF 6'850.- "
"VW Caddy 1.9TDI PD(Kombi)","10-2009","Vorfuehrwagen","weiss","14'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1620 kg","6.2 l/100km","164 g/km",NA,FALSE,"6 Monate","CHF 24'000.- "
"VW Caddy 1.9TDI PD(Kombi)","06-2010","Vorfuehrwagen","silber","15'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"anthrazit",1896,4,105,"1620 kg","6.2 l/100km","164 g/km",NA,FALSE,"6 Monate","CHF 29'900.- "
"VW Caddy 1.9TDI PD(Kombi)","08-2010","Vorfuehrwagen","weiss","16'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1620 kg","6.2 l/100km","164 g/km",NA,TRUE,"28 Monate","CHF 22'700.- "
"VW Caddy 1.9TDI PD(Kombi)","11-2006","Occasion","gelb","56'000 km","Handschaltung","Vorderradantrieb","Diesel",4,2,"grau",1896,4,105,"1620 kg","6.2 l/100km","164 g/km",NA,TRUE,"12 Monate","CHF 17'900.- "
"VW Caddy 1.9TDI PD(Kombi)","07-2010","Occasion","silber","24'500 km","Automat","Vorderradantrieb","Diesel",4,5,"anthrazit",1896,4,105,"1640 kg","6.6 l/100km","178 g/km","B",TRUE,"12 Monate","CHF 22'900.- "
"VW Caddy 1.9TDI PD(Kombi)","08-2004","Occasion","schwarz","176'800 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,NA,1896,4,105,"1625 kg","6 l/100km","159 g/km",NA,FALSE,"0 Monate","CHF 9'900.- "
"VW Caddy 1.9TDI PD(Kombi)","07-2005","Occasion","weiss","192'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"anthrazit",1896,4,105,"1625 kg","6 l/100km","159 g/km",NA,TRUE,"0 Monate","CHF 9'500.- "
"VW Caddy 1.9TDI PD(Kombi)","12-2007","Occasion","silber","52'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1620 kg","6.2 l/100km","164 g/km",NA,FALSE,"12 Monate","CHF 19'900.- "
"VW Caddy 1.9TDI PD(Kombi)","09-2004","Occasion","rot","256'600 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"schwarz",1896,4,105,"1625 kg","6 l/100km","159 g/km",NA,FALSE,"1 Monate","CHF 7'950.- "
"VW Caddy Life 1.4(Kombi)","09-2005","Occasion","rot","96'000 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1390,4,75,"1565 kg","8.3 l/100km","199 g/km","C",FALSE,"12 Monate","CHF 14'800.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","15'400 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 22'800.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","20'900 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'850.- "
"VW Caddy Life 1.6(Kombi)","04-2007","Occasion","blau","61'850 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",TRUE,"0 Monate","CHF 14'800.- "
"VW Caddy Life 1.6(Kombi)","12-2009","Occasion","schwarz","20'100 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 20'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","schwarz","22'400 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 22'800.- "
"VW Caddy Life 1.6(Kombi)","12-2009","Occasion","schwarz","22'425 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'900.- "
"VW Caddy Life 1.6(Kombi)","02-2005","Occasion","grau","69'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 15'500.- "
"VW Caddy Life 1.6(Kombi)","07-2010","Vorfuehrwagen","grau","9'500 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 29'800.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","23'700 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'400.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","19'500 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",TRUE,"12 Monate","CHF 20'950.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","schwarz","19'300 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 24'500.- "
"VW Caddy Life 1.6(Kombi)","09-2006","Occasion","blau","84'900 km","Handschaltung","Vorderradantrieb","Benzin",4,7,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 13'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","schwarz","24'200 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 22'300.- "
"VW Caddy Life 1.6(Kombi)","08-2004","Occasion","anthrazit","180'000 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"anthrazit",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",TRUE,"0 Monate","CHF 11'600.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","schwarz","17'500 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'850.- "
"VW Caddy Life 1.6(Kombi)","05-2010","Vorfuehrwagen","blau","12'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 19'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","25'000 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"24 Monate","CHF 23'950.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","19'900 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'500.- "
"VW Caddy Life 1.6(Kombi)","12-2009","Occasion","silber","15'300 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'500.- "
"VW Caddy Life 1.6(Kombi)","07-2009","Occasion","grau","16'655 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'900.- "
"VW Caddy Life 1.6(Kombi)","07-2009","Occasion","grau","19'500 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","grau","16'300 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","schwarz","25'300 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 22'850.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","16'900 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'950.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","19'500 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"anthrazit",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 23'950.- "
"VW Caddy Life 1.6(Kombi)","07-2007","Occasion","grau","12'600 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 18'550.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Vorfuehrwagen","schwarz","25'000 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",TRUE,"0 Monate","CHF 21'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","29'531 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"0 Monate","CHF 20'900.- "
"VW Caddy Life 1.6(Kombi)","06-2010","Occasion","silber","19'650 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 20'950.- "
"VW Caddy Life 1.6(Kombi)","07-2009","Occasion","schwarz","15'700 km","Handschaltung","Vorderradantrieb","Benzin",4,7,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'990.- "
"VW Caddy Life 1.9TDI PD(Kombi)","08-2010","Vorfuehrwagen","silber","5'900 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"36 Monate","CHF 29'000.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2008","Occasion","silber","59'120 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",TRUE,"12 Monate","CHF 21'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2006","Occasion","blau","135'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"schwarz",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"3 Monate","CHF 11'950.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2005","Occasion","grau","98'000 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"12 Monate","CHF 14'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","09-2007","Occasion","silber","46'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",TRUE,"3 Monate","CHF 23'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","11-2004","Occasion","weiss","265'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,NA,1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"0 Monate","CHF 6'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","07-2009","Occasion","schwarz","35'550 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 21'950.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2010","Occasion","silber","300 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"24 Monate","CHF 27'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","06-2010","Vorfuehrwagen","silber","25'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 23'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2010","Occasion","silber","21'425 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 22'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2006","Occasion","grau","53'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"anthrazit",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"10 Monate","CHF 15'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2008","Occasion","weiss","95'200 km","Automat","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.9 l/100km","183 g/km","B",TRUE,"0 Monate","CHF 18'990.- "
"VW Caddy Life 1.9TDI PD(Kombi)","07-2010","Occasion","schwarz","13'800 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 26'700.- "
"VW Caddy Life 1.9TDI PD(Kombi)","08-2005","Occasion","silber","74'100 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"3 Monate","CHF 19'980.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2009","Occasion","silber","20'600 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 22'500.- "
"VW Caddy Life 1.9TDI PD(Kombi)","04-2006","Occasion","silber","99'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"12 Monate","CHF 13'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","04-2010","Occasion","silber","19'800 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,75,"1620 kg","6.3 l/100km","167 g/km","B",FALSE,"7 Monate","CHF 19'500.- "
"VW Caddy Life 1.9TDI PD(Kombi)","07-2007","Occasion","silber","83'000 km","Automat","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.9 l/100km","183 g/km","B",TRUE,"12 Monate","CHF 18'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","06-2010","Occasion","silber","23'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 23'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2010","Occasion","grau","31'536 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"schwarz",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 24'500.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2008","Occasion","silber","98'600 km","Automat","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.9 l/100km","183 g/km","B",FALSE,"12 Monate","CHF 18'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2004","Occasion","blau","144'000 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"anthrazit",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",TRUE,"3 Monate","CHF 12'500.- "
"VW Caddy Life 1.9TDI PD(Kombi)","06-2010","Occasion","schwarz","19'400 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 24'990.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2010","Occasion","silber","30'300 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"schwarz",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 25'400.- "
"VW Caddy Life 1.9TDI PD(Kombi)","06-2006","Occasion","silber","112'580 km","Automat","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.6 l/100km","178 g/km","B",TRUE,"6 Monate","CHF 14'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2009","Occasion","schwarz","18'000 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",TRUE,"0 Monate","CHF 22'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","06-2010","Occasion","grau","20'200 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,NA,1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 26'600.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2010","Occasion","silber","22'900 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 24'900.- "
"VW Caddy Life 1.9TDI PD(Kombi)","05-2010","Occasion","silber","16'500 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1896,4,105,"1640 kg","6.3 l/100km","167 g/km","B",FALSE,"12 Monate","CHF 23'950.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2006","Occasion","grau","88'220 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"anthrazit",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",FALSE,"0 Monate","CHF 16'800.- "
"VW Caddy Life 1.9TDI PD(Kombi)","12-2006","Occasion","weiss","74'200 km","Automat","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1640 kg","6.6 l/100km","178 g/km","B",TRUE,"12 Monate","CHF 14'500.- "
"VW Caddy Life 1.9TDI PD(Kombi)","09-2005","Occasion","blau","202'700 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1640 kg","6.1 l/100km","161 g/km","A",FALSE,"0 Monate","CHF 12'600.- "
"VW Caddy Life 1.9TDI PD 4Mot(Kombi)","04-2010","Occasion","silber","15'100 km","Handschaltung","Allrad","Diesel",4,NA,"grau",1896,4,105,"1700 kg","6.7 l/100km","176 g/km","B",FALSE,"12 Monate","CHF 28'650.- "
"VW Caddy Life 1.9TDI PD BluM(Kombi)","12-2010","Occasion","silber","9'100 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1615 kg","5.7 l/100km","149 g/km","A",FALSE,"0 Monate","CHF 25'900.- "
"VW Caddy Life 1.9TDI PD BluM(Kombi)","06-2010","Occasion","silber","29'800 km","Handschaltung","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1615 kg","5.7 l/100km","149 g/km","A",TRUE,"0 Monate","CHF 26'900.- "
"VW Caddy Life 2.0 EcoFuel(Kombi)","01-2010","Occasion","blau","1'000 km","Handschaltung","Vorderradantrieb","Gas (LNG, LPG, GPL, CNG)",4,NA,"grau",1984,4,109,"1750 kg","8.8 l/100km","157 g/km","B",FALSE,"0 Monate","CHF 29'900.- "
"VW Caddy Life 2.0 EcoFuel(Kombi)","03-2007","Occasion","rot","28'100 km","Handschaltung","Vorderradantrieb","Gas (LNG, LPG, GPL, CNG)",4,5,"rot",1984,4,109,"1750 kg","8.8 l/100km","157 g/km","B",FALSE,"12 Monate","CHF 17'950.- "
"VW Caddy Life 2.0 EcoFuel(Kombi)","08-2008","Occasion","gruen","45'300 km","Handschaltung","Vorderradantrieb","Gas (LNG, LPG, GPL, CNG)",4,5,NA,1984,4,109,"1750 kg","8.8 l/100km","157 g/km","B",FALSE,"12 Monate","CHF 21'700.- "
"VW Caddy Life 2.0 EcoFuel(Kombi)","10-2009","Occasion","blau","36'600 km","Handschaltung","Vorderradantrieb","Gas (LNG, LPG, GPL, CNG)",4,5,"grau",1984,4,109,"1750 kg","8.8 l/100km","157 g/km","B",TRUE,"12 Monate","CHF 24'500.- "
"VW Caddy Life 2.0 EcoFuel(Kombi)","10-2006","Occasion","bordeaux","51'800 km","Handschaltung","Vorderradantrieb","Gas (LNG, LPG, GPL, CNG)",4,5,"grau",1984,4,109,"1750 kg","8.8 l/100km","157 g/km","B",TRUE,"12 Monate","CHF 17'900.- "
"VW Caddy Life 2.0TDI(Kombi)","12-2009","Occasion","grau","18'000 km","Handschaltung","Vorderradantrieb","Diesel",4,5,NA,1968,4,140,"1680 kg","6.4 l/100km","169 g/km","B",TRUE,"0 Monate","CHF 28'900.- "
"VW Caddy Maxi 1.6TDI Blue M(Kombi)","03-2011","Occasion","silber","9'000 km","Handschaltung","Vorderradantrieb","Diesel",4,7,"grau",1598,4,102,"1675 kg","5.1 l/100km","134 g/km",NA,TRUE,"0 Monate","CHF 28'900.- "
"VW Caddy Maxi 1.6TDI CR(Kombi)","12-2010","Vorfuehrwagen","weiss","6'000 km","Handschaltung","Vorderradantrieb","Diesel",4,2,"grau",1598,4,102,"1670 kg","5.7 l/100km","149 g/km",NA,FALSE,"36 Monate","CHF 26'900.- "
"VW Caddy Maxi 1.9TDI(Kombi)","03-2010","Occasion","silber","14'500 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1896,4,105,"1608 kg","6.3 l/100km","166 g/km","A",FALSE,"6 Monate","CHF 22'500.- "
"VW Caddy Maxi 1.9TDI A(Kombi)","02-2010","Occasion","gruen","17'000 km","Automat","Vorderradantrieb","Diesel",4,NA,"grau",1896,4,105,"1608 kg","6.9 l/100km","182 g/km","B",FALSE,"0 Monate","CHF 28'900.- "
"VW Caddy Maxi 2.0TDI(Kombi)","05-2009","Occasion","silber","59'200 km","Handschaltung","Vorderradantrieb","Diesel",4,5,"grau",1968,4,140,"1637 kg","6.3 l/100km","167 g/km","B",FALSE,"0 Monate","CHF 19'500.- "
"VW Caddy MAXI 2.0TDI  (Kombi)","01-2008","Occasion","grau","11'800 km","Handschaltung","Vorderradantrieb","Diesel",5,7,"beige",1968,4,140,"1708 kg",NA,NA,"A",TRUE,"0 Monate","CHF 22'150.- "
"VW Caddy Maxi Life 1.9 TDI(Kombi)","09-2009","Occasion","schwarz","68'500 km","Handschaltung","Vorderradantrieb","Diesel",5,7,"grau",1896,4,105,"1740 kg","6.2 l/100km","164 g/km","A",TRUE,"0 Monate","CHF 24'750.- "
"VW Caddy Trendline(Kombi)","11-2010","Occasion","braun","5'050 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"braun",NA,4,75,NA,NA,NA,NA,TRUE,"24 Monate","CHF 21'841.- "
